nr,x,y
201,531.25,287.5
200,137.5,275
122,631.25,387.5
121,570,210
120,631.25,137.5
119,631.25,68.75
118,490,210
117,460,130
116,390,210
115,337.5,268.75
114,337.5,337.5
113,568.75,443.75
112,337.5,400
111,290,210
110,518.75,68.75
109,230,130
108,462.5,443.75
107,137.5,443.75
106,137.5,375
105,200,210
104,137.5,206.25
103,175,68.75
102,75,68.75
101,75,143.75
100,75,375
63,556.25,281.25
62,430,280
61,630,470
60,420,430
53,10,490
52,690,490
51,690,10
50,10,10
32,570,130
31,340,130
30,137.5,125
23,431.25,400
22,568.75,268.75
21,480,350
20,431.25,268.75
12,250,400
11,250,268.75
10,137.5,268.75
0,160,300